11,45,30,545,436,it is an indoor scene,yanayi ne na cikin gida
17,306,239,189,94,Computer screens turned on,An kunna allon kwamfuta
18,664,241,93,126,man has short hair,mutum yana da gajeren gashi
21,1,113,120,138,photo album open on an adult's lap,an buɗe kundin hoton hoto akan cinyar babba
23,105,178,148,209,there is a group of girls beside the black car,akwai gungun yan mata a gefen bakar motar
25,106,357,41,33,Child in a stroller,Yaro a cikin abin hawa
26,416,217,80,285,Tall metal lightpost,Tall lightpost mai tsayi
27,158,210,112,51,wall is painted white,bango an yi masa fari
28,19,18,772,339,there are several pictures on the wall,akwai hotuna da yawa a jikin bango
29,664,212,70,176,woman facing the ocean,mata tana fuskantar ruwa
35,28,4,760,589,this is an office layout,wannan shine tsarin ofis
38,175,453,604,290,four metallic chairs,kujerun ƙarfe huɗu
39,478,227,225,77,Clutter is on a table,Clutter yana kan tebur
41,368,244,329,225,a white microwave oven,farin tanda na microwave
45,546,222,229,158,White SUV driving through intersection,Farin SUV yana tuki ta hanyar mahada
47,500,278,150,153,Person crossing street with umbrella,Mutumin da ke tsallaka titi tare da laima
58,603,305,75,178,man in gray pants leaning on building,mutum cikin wando mai launin toka yana jingina akan gini
62,443,14,37,49,window on the building,taga akan ginin
65,360,57,145,169,A man standing in between cars,Mutumin da ke tsaye tsakanin motoci
70,49,24,130,184,painting hanging on wall,zanen rataye a bango
73,616,430,41,73,leg of the chair,kafar kujera
75,7,23,54,39,window of a boat,tagan jirgin ruwa
80,153,0,38,85,the cabinet is wood,katako itace
86,389,37,146,333,a man reading a book,mutum yana karanta littafi
87,476,379,45,30,A person swimming in water,Mutum yana iyo cikin ruwa
88,256,127,28,44,lamp with glowing shade,fitila mai haske
92,201,190,33,10,fruit on the plate,'ya'yan itace a kan farantin
95,46,207,306,281,A porcelain white plate,faranti farin faranti
100,190,257,110,71,black game controller,bakin game mai kula
101,368,326,85,145,A person putting something in the trunk of the car.,Wani mutum yana sanya wani abu a cikin akwati na mota.
103,689,363,109,178,Green car parked along a street,koren mota ta faka a bakin titi
105,331,182,179,138,car on the street,mota akan titi
106,217,317,72,174,construction worker wearing coveralls,ma'aikacin gini sanye da sutura
108,610,321,170,73,a black car with a yellow door,bakar mota mai kofar rawaya
110,586,483,161,105,chair at the table,kujera a tebur
111,272,241,170,193,a navel orange on a counter,lemun cibiya a kan tebur
113,64,81,122,85,Three windows of a building,Tagogi uku na gini
116,73,210,113,193,window on a building,taga a kan gini
119,191,285,397,310,Brown table standing on top of a floor.,Teburin launin kasa yana tsaye a saman bene.
120,419,183,69,195,floor lamp is on,fitilar bene tana kunne
126,128,204,141,108,A yellow bus,mota ɗin rawaya
130,154,18,132,139,branch of the tree,reshen bishiyar
136,713,502,85,93,Cement bench outside the building,Gidan siminti a wajen ginin
141,460,472,24,123,thick black pole with a white stripe,baƙar sanda mai kauri mai launin fari
142,351,351,91,49,a wooden park bench,benci wurin shakatawa na katako
153,324,404,48,74,a cup,kofin
156,314,42,67,109,man has brown hair,mutum yana da gashin launin ruwan kasa
157,48,255,64,54,grass in a field,ciyawa a gona
161,173,0,158,621,A large brown tree trunk,Babban katako mai launin ruwan kasa
166,171,345,137,18,silver car in front of a building,motar azurfa a gaban wani gini
170,539,248,116,198,man sits at counter,mutum yana zaune a kan tebur
173,257,81,70,245,woman standing at a book cart,mace a tsaye a cikin katako
175,438,163,346,354,two story blue bus,bus mai hawa biyu
179,91,198,64,88,a gray laundry basket,kwandon wanki mai ruwan toka
181,3,302,74,35,The yellow construction hats,The rawaya yi huluna
187,3,593,636,205,wooden floor in the room,kasan katako a cikin dakin
188,337,92,115,278,A tall palm tree above the horizon,Itacen dabino mai tsayi sama da sararin sama
193,0,403,106,74,chair inside an auditorium,kujera a cikin zauren taro
194,127,0,375,310,a tall leafy tree,doguwar bishiya mai ganye
